id;point_type;point_value;label;description;is_active;display_order;created_at;updated_at
1;regist;1000;ユーザー登録;新規会員登録時に付与されるポイント;1;1;2025-11-13 15:40:04;2025-12-15 21:11:54
2;login;20;ログイン;1日1回のログインで付与されるポイント;1;2;2025-11-13 15:40:04;2025-12-15 21:11:54
3;post;"0";一般投稿;アンケートを投稿した際に付与されるポイント;1;3;2025-11-13 15:40:04;2025-12-15 21:11:54
4;comment;"0";コメント;コメント・返信を投稿した際に付与されるポイント;1;4;2025-11-13 15:40:04;2025-12-15 21:11:54
5;vote;"0";一般投票;アンケートに投票した際に付与されるポイント;1;5;2025-11-13 15:40:04;2025-12-15 21:11:54
6;incentive;"0";インセンティブ;インセンティブで付与されるポイント;1;6;2025-11-13 15:40:04;2025-12-15 21:11:54
7;work_post;5;アンケワークス投稿;アンケワークで投票した際に作成したワーカーが獲得できるポイント;1;7;2025-11-13 15:40:04;2025-12-15 21:11:54
8;campaign;"0";キャンペーン;キャンペーンで付与されるポイント;1;8;2025-11-13 15:40:04;2025-12-15 21:11:54
17;work_vote;5;アンケワークス投票;Worker依頼のアンケートに投票した際に作成者が獲得できるポイント;1;7;2025-11-15 22:52:44;2025-12-15 21:11:54
