id;word;word_type;severity;category;is_active;created_by;created_at;updated_at
107;未完;partial;log;その他;1;;2025-11-11 11:15:22;
108;大根;partial;log;その他;1;;2025-11-11 11:15:22;
109;退会;partial;log;その他;1;;2025-11-11 11:15:22;
110;AAA;exact;log;その他;1;;2025-11-11 11:15:22;
111;ワタシモ;partial;log;その他;1;;2025-11-11 11:15:22;
112;チラシ;partial;log;その他;1;;2025-11-11 11:15:22;
113;きのこの山;partial;log;その他;1;;2025-11-11 11:15:22;
114;gift;partial;log;その他;1;;2025-11-11 11:15:22;
115;競馬;partial;log;その他;1;;2025-11-11 11:15:22;
116;東京大震災;partial;log;その他;1;;2025-11-11 11:15:22;
117;期間;partial;log;その他;1;;2025-11-11 11:15:22;
118;広告;partial;log;その他;1;;2025-11-11 11:15:22;
119;遊び人;partial;log;その他;1;;2025-11-11 11:15:22;
120;タスク;partial;log;その他;1;;2025-11-11 11:15:22;
121;保存;partial;log;その他;1;;2025-11-11 11:15:22;
122;格安;partial;log;その他;1;;2025-11-11 11:15:22;
123;男性の身;partial;log;その他;1;;2025-11-11 11:15:22;
124;クラウド;partial;log;その他;1;;2025-11-11 11:15:22;
125;スキンケア;partial;log;その他;1;;2025-11-11 11:15:22;
126;パスタ;partial;log;その他;1;;2025-11-11 11:15:22;
127;救急車;partial;log;その他;1;;2025-11-11 11:15:22;
128;番組;partial;log;その他;1;;2025-11-11 11:15:22;
129;アンダー;partial;log;その他;1;;2025-11-11 11:15:22;
130;卒業;partial;log;その他;1;;2025-11-11 11:15:22;
131;推し;partial;log;その他;1;;2025-11-11 11:15:22;
132;ニュース;partial;log;その他;1;;2025-11-11 11:15:22;
133;恋人;partial;log;その他;1;;2025-11-11 11:15:22;
134;ええ;partial;log;その他;1;;2025-11-11 11:15:22;
135;オレ;partial;log;その他;1;;2025-11-11 11:15:22;
136;さくら;partial;log;その他;1;;2025-11-11 11:15:22;
137;lyp;partial;log;その他;1;;2025-11-11 11:15:22;
138;anke;partial;log;その他;1;;2025-11-11 11:15:22;
139;アンケ;partial;log;その他;1;;2025-11-11 11:15:22;
140;レディ;partial;log;その他;1;;2025-11-11 11:15:22;
141;メール;partial;log;その他;1;;2025-11-11 11:15:22;
142;確認;partial;log;その他;1;;2025-11-11 11:15:22;
143;建設;partial;log;その他;1;;2025-11-11 11:15:22;
144;情報;partial;log;その他;1;;2025-11-11 11:15:22;
145;うまい;partial;log;その他;1;;2025-11-11 11:15:22;
146;招待;partial;log;その他;1;;2025-11-11 11:15:22;
147;要望;partial;log;その他;1;;2025-11-11 11:15:22;
148;あああ;partial;log;その他;1;;2025-11-11 11:15:22;
149;https;partial;log;その他;1;;2025-11-11 11:15:22;
150;lee;partial;log;その他;1;;2025-11-11 11:15:22;
151;①;partial;log;その他;1;;2025-11-11 11:15:22;
152;【改訂版】;partial;log;その他;1;;2025-11-11 11:15:22;
153;※;partial;log;その他;1;;2025-11-11 11:15:22;
154;、;exact;log;その他;1;;2025-11-11 11:15:22;
155;OKgirl;partial;log;その他;1;;2025-11-11 11:15:22;
156;支持しますか;partial;log;その他;1;;2025-11-11 11:15:22;
157;オススメ;partial;log;その他;1;;2025-11-11 11:15:22;
158;なし;exact;log;その他;1;;2025-11-11 11:15:22;
159;das;partial;log;その他;1;;2025-11-11 11:15:22;
160;万個;exact;block;"";1;33;2025-11-18 18:21:54;
